দিন	কোর্স	বিষয়	লেকচার	বিএসসি ইন নার্সিং	লেকচার	ডিপ্লোমা ইন নার্সিং	মোটিভেশনাল লাইন																			
Day-01	বেসিক ট এডভান্স	বাংলা	বাংলা-১	"বাংলা সাহিত্য, প্রতিদান
 পদ্মা, বৃষ্টি"	বাংলা-১	"বাংলা সাহিত্য, প্রতিদান
 পদ্মা, বৃষ্টি"	​"আজকের এই শুরুটা যেন শেষ দিন পর্যন্ত টিকে থাকে। সাদা এপ্রোনের স্বপ্নটা তোমার, সংগ্রামটাও তোমাকেই করতে হবে।"																			
Day-02	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-১	"Parts of Speech
Synonym & Antonym"	ইংরেজি-১	"Parts of Speech
Synonym & Antonym"	​"পিছপা হওয়ার কোনো সুযোগ নেই; তোমার আজকের এই পরিশ্রম কাল তোমার পরিচয় বদলে দেবে।"																			
Day-03	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-১	বাংলাদেশে পরিচিত	সাধারন জ্ঞান-১	বাংলাদেশে পরিচিত	​"১টা দিন পার হলো মানে তুমি তোমার স্বপ্নের ১ কদম কাছে চলে এলে। আজকের পড়া কি শেষ করেছো?"																			
Day-04	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-১	বাস্তব সংখ্যা এবং ভগ্নাংশ 	সাধারন গণিত-১	বাস্তব সংখ্যা এবং ভগ্নাংশ 	​"মেডিকেলের ওই সাদা এপ্রোনটা শুধু একটা পোশাক নয়, ওটা তোমার না-ঘুমানো রাতগুলোর শ্রেষ্ঠ পুরস্কার।"																			
Day-05	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-১	ভৌত জগত ও পরিমাপ এবং ভেক্টর	পদার্থবিজ্ঞান-১	ভৌত রাশি এবং পরিমাপ	​"মাঝপথে ছেড়ে দেওয়ার জন্য তুমি এই যুদ্ধ শুরু করোনি। আজকের সংগ্রাম কালকের সফলতা।"																			
Day-06	বেসিক ট এডভান্স	বাংলা	বাংলা-২	"বাংলা ভাষা ও ব্যাকরণ
বাঙ্গালার নব্য লেখকদের প্রতি নিবেদন, আহ্বান"	বাংলা-২	"বাংলা ভাষা ও ব্যাকরণ
বাঙ্গালার নব্য লেখকদের প্রতি নিবেদন, আহ্বান"	​"যেখানে অনেকেই হাল ছেড়ে দেয়, সেখান থেকেই তোমার আসল জয়যাত্রা শুরু হবে।"																			
Day-07	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-২	Details of Noun & Determiner	ইংরেজি-২	Details of Noun & Determiner	​"কষ্ট হচ্ছে? ক্লান্ত লাগছে? মনে রেখো, সাফল্যের রাস্তা কখনো মসৃণ হয় না। একটু বিশ্রাম নাও, কিন্তু থেমো না।"																			
Day-08	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-২	প্রাচীন বাংলার ইতিহাস	সাধারন জ্ঞান-২	প্রাচীন বাংলার ইতিহাস	​"আজকের যে পড়াটা তোমার কাছে সবচেয়ে কঠিন মনে হচ্ছে, পরীক্ষার হলে সেটাই তোমার মেরিট পজিশন ঠিক করে দেবে।"																			
Day-09	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-১	 ল্যাবরেটরির নিরাপদ ব্যবহার ও গুণগত রসায়ন	রসায়ন-১	রসায়নের ধারনা 	​"ты (তুমি) কি জানো, যখন তুমি ঘুমাচ্ছ বা সময় নষ্ট করছ, তখন অন্য কেউ তোমার সিটটা দখলের জন্য পড়ছে?"																			
Day-10	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-১	কোষ ও এর গঠন, কোষ বিভাজন 	জীববিজ্ঞান-১	জীবন পাঠ, জীবকোষ ও টিস্যু	​"সংগ্রাম যত কঠিন হবে, বিজয়ের হাসি ততটাই তৃপ্তির হবে। হাল ছেড়ো না!"																			
Day-11	বেসিক ট এডভান্স	বাংলা	বাংলা-৩	"অপরিচিতা, সোনারতরী 
আম আটির ডেপু"	বাংলা-৩	"অপরিচিতা, সোনারতরী 
আম আটির ডেপু"	​"নিজের সেরাটা দিয়ে যাও। জাতীয় মেধাতালিকায় ওপরের দিকে নিজের নামটা দেখার অনুভূতির কাছে এই কষ্ট কিছুই না।"																			
Day-12	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৩	Number & Gender	ইংরেজি-৩	Number & Gender	​"ভুল থেকে শেখো। আজকের মডেল টেস্টের ভুলগুলোই কালকের চূড়ান্ত পরীক্ষায় তোমাকে বাঁচিয়ে দেবে।"																			
Day-13	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-৩	"জাতীয় ও আন্তর্জাতিক বিষয়াবলি, দিবস
সরকার ও সংবিধান, আইনসভা, অর্থনীতি ও বাজেট  "	সাধারন জ্ঞান-৩	"জাতীয় ও আন্তর্জাতিক বিষয়াবলি, দিবস
সরকার ও সংবিধান, আইনসভা, অর্থনীতি ও বাজেট  "	​"একবার চোখ বন্ধ করে ভাবো তো, যেদিন রেজাল্ট বের হবে, সেদিন তোমার বাবা-মায়ের মুখের হাসিটা কতটা সুন্দর হবে!"																			
Day-14	বেসিক ট এডভান্স	সাধারন গণিত	সাধারন গণিত-২	লসাগু গসাগু ও ঐকিক নিয়ম	সাধারন গণিত-২	লসাগু গসাগু ও ঐকিক নিয়ম	​"বাবা-মায়ের সেই গর্বিত মুখটা দেখার জন্য হলেও আজকের দিনটা কাজে লাগাও। তারা তোমার দিকেই তাকিয়ে আছে।"																			
Day-15	বেসিক ট এডভান্স	বিজ্ঞান	পদার্থবিজ্ঞান-২	গতিবিদ্যা, তরঙ্গ	পদার্থবিজ্ঞান-২	গতি	​"তোমার এই নিরলস পরিশ্রমের প্রতিটি ফোঁটা ঘাম তোমার পরিবারের দিনবদলের গল্প লিখছে।"																			
Day-16	বেসিক ট এডভান্স	বাংলা	বাংলা-৪	"ধ্বনির পরিবর্তন, সন্ধি
সাহিত্য খেলা, বই পড়া "	বাংলা-৪	"ধ্বনির পরিবর্তন, সন্ধি
সাহিত্য খেলা, বই পড়া "	​"দিনশেষে তুমি যখন নার্সিং কলেজে চান্স পাবে, তোমার চেয়ে বেশি খুশি আর কেউ হবে না, তোমার বাবা-মা ছাড়া।"																			
Day-17	বেসিক ট এডভান্স	ইংরেজি	ইংরেজি-৪	"Pronoun & Antecedent
Preposition"	ইংরেজি-৪	"Pronoun & Antecedent
Preposition"	​"বাবা-মায়ের মুখে হাসি ফেরাতে তোমাকে ফিরতেই হবে, এবং সেটা বিজয়ী বেশেই!"																			
