"১৫০ দিনে নার্স হওয়ার চ্যালেঞ্জ 
নিয়মিত পড়াশোনায় নার্স স্বপ্ন পূরণ",,,,,
,,,"একটা চার্ট ডিজাইন (রোডম্যাপ টাইপ)
বেসিক টু এডভান্স - ১০০ দিন
ফাইনাল রিভিশন - ৩০ দিন
কুইক রিভিশন - ১০দিন
মডেল টেস্ট - ১০ দিন",,
,,,,চ্যালেঞ্জ শুরু করি বাটন,"নাম, মোবাইল নাম্বার"
,,,Day 1 ...........................................................................................................................Day 150,,
,,আজকের তারিখ,আজকের দিন,আজকের বিষয়,আজকের টপিক
,,ক্লাস করি,পরীক্ষা দেই,বই পড়ি,প্রশ্ন সলভ করি
,,,,,
,,,,Filter By Course,Filter By Subject
১৫০ দিনে নার্স হওয়ার পূর্ণাঙ্গ রুটিন,,,,,
দিন,কোর্স,বিষয়,লেকচার,বিএসসি ইন নার্সিং,ডিপ্লোমা ইন নার্সিং
Day-1,বেসিক ট এডভান্স,বাংলা,বাংলা-১,"বাংলা সাহিত্য, প্রতিদান
 পদ্মা, বৃষ্টি","বাংলা সাহিত্য, প্রতিদান
 পদ্মা, বৃষ্টি"
Day-2,বেসিক ট এডভান্স,বাংলা,বাংলা-২,"বাংলা ভাষা ও ব্যাকরণ
বাঙ্গালার নব্য লেখকদের প্রতি নিবেদন, আহ্বান","বাংলা ভাষা ও ব্যাকরণ
বাঙ্গালার নব্য লেখকদের প্রতি নিবেদন, আহ্বান"
Day-3,বেসিক ট এডভান্স,বাংলা,বাংলা-৩,"অপরিচিতা, সোনারতরী 
আম আটির ডেপু","অপরিচিতা, সোনারতরী 
আম আটির ডেপু"
Day-4,বেসিক ট এডভান্স,বাংলা,বাংলা-৪,"ধ্বনির পরিবর্তন, সন্ধি
সাহিত্য খেলা, বই পড়া ","ধ্বনির পরিবর্তন, সন্ধি
সাহিত্য খেলা, বই পড়া "
Day-5,বেসিক ট এডভান্স,বাংলা,বাংলা-৫,"পুরুষ ও স্ত্রী বাচক শব্দ , বচন, সমাস
গন্তব্য কাবুল, প্রবাস বন্ধু","পুরুষ ও স্ত্রী বাচক শব্দ , বচন, সমাস
গন্তব্য কাবুল, প্রবাস বন্ধু"
Day-6,বেসিক ট এডভান্স,বাংলা,বাংলা-৬,"আমার পথ, বিদ্রোহী
সুভা, অর্ধাঙ্গী","আমার পথ, বিদ্রোহী
সুভা, অর্ধাঙ্গী"
Day-7,বেসিক ট এডভান্স,বাংলা,বাংলা-৭,"উপসর্গ,অনুসর্গ, কারক ও বিভক্তি
উমর ফারুক, যৌবনের গান","উপসর্গ,অনুসর্গ, কারক ও বিভক্তি
উমর ফারুক, যৌবনের গান"
Day-8,বেসিক ট এডভান্স,বাংলা,বাংলা-৮,"বিলাসী, মাসি-পিসি, বায়ান্নর দিনগুলো
জীবন বৃক্ষ, শিক্ষা ও মানুষ্যত্ব, অভাগীর স্বর্গ","বিলাসী, মাসি-পিসি, বায়ান্নর দিনগুলো
জীবন বৃক্ষ, শিক্ষা ও মানুষ্যত্ব, অভাগীর স্বর্গ"
Day-9,বেসিক ট এডভান্স,বাংলা,বাংলা-৯,"ণ-ত্ব বিধান, ষ-ত্ব বিধান, শব্দ
নেকলেস, নিম গাছ ","ণ-ত্ব বিধান, ষ-ত্ব বিধান, শব্দ
নেকলেস, নিম গাছ "
